Place ID,Name,Latitude,Longitude,Rating,Number of Reviews,Price Level,Address
ChIJC_Tg7YkFVDcRxrVefvy7ZgI,Green Leaf Fast Food,24.0017143,91.1086292,5,4.0,,"2425+MFR, Brahmanbaria, Bangladesh"
ChIJl5zV5sY5VDcR5qJes7xdkt4,Shohag Palace,23.7759523,90.8034665,5,1.0,,"QRG3+99P, Bancharampur - Nabinagar Rd, Rupasdi, Bangladesh"
ChIJXxspYgA5VDcRdMjNgb-4OnA,হাজী বিরিয়ানি হাউজ,23.768674,90.79727,4.7,3.0,,"QQ9W+FW6, Bancharampur Sadar, Bangladesh"
ChIJC1DpSb05VDcR9NndLqtRajQ,Food Point Cafe & Restaurant,23.7711293,90.80529740000001,4,46.0,,"QRC4+F43, Salimabad - Rupasdi Rd, Bangladesh"
ChIJm4E6Iek5VDcRvGTf1Qwgnrc,বিসমিল্লাহ রেস্টুরেন্ট Bismillah Restaurant,23.7722641,90.80094330000001,3.8,171.0,,"QRC2+W94, Bancharampur, Bangladesh"
ChIJfbg2CZw5VDcR8VMcRm1Bg_Y,Mayer Doa Computer Center,23.7706056,90.8019048,5,2.0,,"QRC2+6QR Launch Terminal, Salimabad Rupasdi Rd, Bancharampur, Bangladesh"
ChIJBYDhIQA5VDcRthPCHT4lNzM,নান্না বিরিয়ানি,23.7723671,90.8010451,0,,,"QRC2+XC4, Bancharampur, Bangladesh"
ChIJgeaaGwo5VDcR_X5pOtdXKv4,Sonarampur Bazar,23.7753335,90.80381299999999,3.3,3.0,,"QRG3+4GP, Bancharampur, Bangladesh"
ChIJa54sGbw5VDcRHM9GVVm6XeE,THE ROYAL Restaurant & Party Center,23.7756748,90.80782699999999,3.7,57.0,,"QRG5+74, Bancharampur 3420, Bangladesh"
ChIJ04H96sw5VDcRDn9y68khX3M,ভুজন বাড়ি রেস্টুরেন্টে,23.7720537,90.8022763,3.6,88.0,,"Bancharampur, Bangladesh"
ChIJ1W9H-Ts5VDcRuoRTj1LwBns,মিঃ কিচেন রেস্টুরেন্ট MR. Kitchen Restaurant,23.7736074,90.7975659,3.9,124.0,,"Bancharampur 3420, Bangladesh"
ChIJFZcaeL05VDcRNwZlwcOFi-0,বাঞ্ছারামপুর পৌরসভা আফজাল খানদান নূরানীয়া জামিয়া মসজিদ sohell,23.7703033,90.79917470000001,0,,,"QQFX+3GP, মরিচাকান্দি-বাঞ্ছারামপুর-রোড, Bancharampur Sadar, Bangladesh"
ChIJgwOW7Sw5VDcRt2JEYvhrccA,Shopnil coffee House & restaurant,23.7756928,90.8081045,0,,,"Unnamed Road, Bancharampur, Bangladesh"
ChIJLynELvs5VDcRxYR8XcqJvUU,Vhoter Adda Fast Food,23.7759312,90.80980409999999,3,1.0,,"Katakhali, Bancharampur 3420, Bangladesh"
ChIJXZMqHTBzVDcRwh550dH9b68,Driver Hotel,23.7473663,91.1257167,5,1.0,,"P4WG+W7W, Kasba, Bangladesh"
ChIJLV7m4FlzVDcRZ6CRWH3vVPk,Food Village Resturent and Perty center,23.7473059,91.12570819999999,0,,,"P4WG+W7G Golashar, Kasba, Bangladesh"
ChIJobR4EABzVDcR9ocQHN98KGY,ভোজন রসিক রেস্তোরা,23.7473663,91.1257167,1,1.0,,"P4WG+W7W, Kasba, Bangladesh"
ChIJobTaIetzVDcRJVk5hqfbX90,ওয়াসিম মারকেট,23.7424591,91.125146,0,,,"P4VG+GG2, Kasba, Bangladesh"
ChIJs0XL8wlzVDcRqq6N-ZSqVYI,Dr.Makon Farmeci,23.7473663,91.1257167,0,,,"P4WG+W7W timuki bajar, Kasba, Bangladesh"
ChIJ8Rvy_09zVDcRFpWJohdr8p8,Chef,23.747306,91.12570799999999,0,,,"vill+post:Paniarup.Thana:Kasba.Zilla :Bramanbaria, কসবা 3460, Bangladesh"
ChIJMREeJYIXVDcRRpNkti6ICcg,lipi aker,23.888126,90.9605694,4,1.0,,"VXQ6+764, Nabinagar, Bangladesh"
ChIJ7097ZQAXVDcRgeJyfVkH-a8,Md Ballal,23.8881311,90.96050839999999,0,,,"শিবপুর মাঠের, Nabinagar, Bangladesh"
ChIJJdrze-8XVDcRnbVu_o8sqEI,ROKEYA FOOD CORNER-RFC,23.888126,90.96057069999999,0,,,"VXQ6+764, Nabinagar, Bangladesh"
ChIJEw44CEEXVDcRgtRBWr945IY,জুয়েল ভাই এর দুকান,23.8898911,90.96745639999999,5,1.0,,"VXQ8+XX5, Nabinagar, Bangladesh"
ChIJk7WoYgAXVDcRKBHPFlExI4g,মোঃ হুমায়ূন,23.888126,90.9605694,0,,,"VXQ6+764, Nabinagar, Bangladesh"
ChIJoYVbNOsXVDcR-TVhzV1C75M,Majibur Rahman 012,23.888126,90.9605694,0,,,"Nabinagar 3410, Bangladesh"
ChIJUeqT60cXVDcRLgq2syby0q8,হাউস,23.888126,90.9605694,0,,,"VXQ6+764, থানাকান্দি Road, Nabinagar, Bangladesh"
ChIJzb0pYZYXVDcRyvFv9IH90Ro,Friendship Restora,23.888126,90.9605694,0,,,"NA, নবীনগর 3410, Bangladesh"
ChIJDzspz9QXVDcR0kDNf6nj32w,River view,23.8879279,90.96055559999999,1,1.0,,"VXQ6+57C, Nabinagar, Bangladesh"
ChIJJxvfPCcXVDcR1C4AiXso3gM,RashikBariCafe,23.888126,90.9605694,0,,,"VXQ6+764, Chandra, Bangladesh"
ChIJ58VlEgAXVDcRcPEo4W6gkDk,সুজন তসিলদার আলমনগর উত্তর পাড়া,23.8882309,90.95451469999999,1,1.0,,"VXQ3+7R, Nabinagar, Bangladesh"
ChIJ5TaMsaIXVDcRF9p0SpDVNsc,হেলাল রেস্টুরেন্টে,23.8827349,90.95500869999999,0,,,"VXM4+32R আলমনগর দঃপাড়া, Nabinagar, Bangladesh"
ChIJPVsbJAAXVDcRQYURMMmD_QY,আলী ভ্যারাটিজ স্টোর,23.8843794,90.95482749999999,0,,,"VXM3+PWV, Unnamed Road, Nabinagar, Bangladesh"
ChIJtWSj1DsXVDcRosEbRHTN-OU,খাজা হোটেল / Khaja Hotel,23.888126,90.9605694,1,3.0,,"VXQ6+764, Nabinagar, Bangladesh"
ChIJj9Ns2gcXVDcRC2s5CxJRyyw,মিনি চাইনিজ রেষ্টুরেন্ট,23.8896894,90.96175799999999,5,1.0,,"VXQ6+VPC, Nabinagar 3400, Bangladesh"
ChIJl7m4WYKrVjcR5Jk9I37rJOg,নাসির নগর কলেজ মোড় সাহেব বাড়ি রেস্টুরেন্ট,24.1915004,91.19588650000001,3,2.0,,"55RW+J92, Nasirnagar, Bangladesh"
ChIJ3dKpzNCrVjcRvhw5v5o7n3I,Ananta Hotel,24.1980941,91.1957037,4.5,2.0,,"55XW+66V, Nasirnagar, Bangladesh"
ChIJT2EFCQCrVjcRuq-VX0y1pmE,Bangladesh,24.1957594,91.19531449999999,0,,,"55WW+844, Nasirnagar, Bangladesh"
ChIJbzS_CL-rVjcR3r_zb2qew2A,মায়ের দোয়া রেষ্টুরেন্ট,24.1924458,91.19525369999999,0,,,"55RW+X3M, Nasirnagar, Bangladesh"
ChIJv_1sXACrVjcRqq3In-fYnyg,The Starry Night Cafe,24.1981261,91.19540789999999,5,1.0,,"55XW+65X, Nasirnagar 3440, Bangladesh"
ChIJCz8qOyWrVjcREKcIGGp8Iyc,Allahr Dan Hotel & Restaurant,24.1961147,91.19941559999999,4.1,40.0,,"55WX+CQJ, Sarail - Nasirnagar - Lakhai - Habiganj Rd, Nasirnagar, Bangladesh"
ChIJ2cZ8d66rVjcRzXTsWWKY_yM,Datta Para Nasirnagar,24.1939222,91.19395849999999,0,,,"Nasirnagar, Bangladesh"
ChIJ2wX2S12rVjcRE0m6eaNZlPw,Shah Chondropuri Hotel & Restaurant,24.1953687,91.1982276,4.2,6.0,,"55WX+47X, Sarail - Nasirnagar - Lakhai - Habiganj Rd, Nasirnagar, Bangladesh"
ChIJgZmaQQCrVjcRffTvTzjGX0Y,হযরত শাহজালাল রাঃ হোটেল,24.1916376,91.19172119999999,0,,,"55RR+MM5 খেলার মাঠের মোড়, Nasirnagar, Bangladesh"
ChIJnZen4iOrVjcR9aXdEu3OWWw,Bage Madina Hotel & Restaurant,24.1915428,91.1953671,4.3,4.0,,"55RW+J4H, Sarail - Nasirnagar - Lakhai - Habiganj Rd, Nasirnagar, Bangladesh"
ChIJpR0xbEqFrTARmEfId20CCVY,বিছমিল্লাহ হোটেল,21.6558739,92.31199769999999,3.7,3.0,,"M846+8R6, Alikadam, Bangladesh"
ChIJz3LpYvyFrTARco0y6OnfB3g,ঢাকাইয়্যা হোটেল এন্ড রেস্টুরেন্ট,21.6527391,92.31905309999999,4,5.0,,"Alikadam - Thanchi Rd, Alikadam, Bangladesh"
ChIJPzaJzN2FrTARPaWRJRm10Go,মায়েরদোয়া হোটেল এন্ড রেস্টুরেন্টে,21.6525528,92.3192657,3.3,3.0,,"M839+2PC, থানচি রোড, Alikadam, Bangladesh"
